Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Naturaleza jurídica;Periodo;Total
Nacional;;;Total;2020T4;2.987
Nacional;;;Total;2020T3;2.143
Nacional;;;Total;2020T2;1.416
Nacional;;;Total;2020T1;2.116
Nacional;;;Total;2019T4;2.294
Nacional;;;Total;2019T3;1.652
Nacional;;;Total;2019T2;1.894
Nacional;;;Total;2019T1;1.932
Nacional;;;Total;2018T4;1.727
Nacional;;;Total;2018T3;1.268
Nacional;;;Total;2018T2;1.782
Nacional;;;Total;2018T1;1.621
Nacional;;;Total;2017T4;1.546
Nacional;;;Total;2017T3;1.136
Nacional;;;Total;2017T2;1.595
Nacional;;;Total;2017T1;1.476
Nacional;;;Total;2016T4;1.474
Nacional;;;Total;2016T3;1.113
Nacional;;;Total;2016T2;1.397
Nacional;;;Total;2016T1;1.269
Nacional;;;Total;2015T4;1.464
Nacional;;;Total;2015T3;1.204
Nacional;;;Total;2015T2;1.460
Nacional;;;Total;2015T1;1.618
Nacional;;;Total;2014T4;1.746
Nacional;;;Total;2014T3;1.453
Nacional;;;Total;2014T2;1.955
Nacional;;;Total;2014T1;2.126
Nacional;;;Total;2013T4;2.354
Nacional;;;Total;2013T3;1.968
Nacional;;;Total;2013T2;2.671
Nacional;;;Total;2013T1;2.944
Nacional;;;Total;2012T4;2.700
Nacional;;;Total;2012T3;1.719
Nacional;;;Total;2012T2;2.328
Nacional;;;Total;2012T1;2.324
Nacional;;;Total;2011T4;1.853
Nacional;;;Total;2011T3;1.413
Nacional;;;Total;2011T2;1.767
Nacional;;;Total;2011T1;1.830
Nacional;;;Total;2010T4;1.555
Nacional;;;Total;2010T3;1.184
Nacional;;;Total;2010T2;1.520
Nacional;;;Total;2010T1;1.703
Nacional;;;Total;2009T4;1.648
Nacional;;;Total;2009T3;1.117
Nacional;;;Total;2009T2;1.762
Nacional;;;Total;2009T1;1.670
Nacional;;;Total;2008T4;1.275
Nacional;;;Total;2008T3;849
Nacional;;;Total;2008T2;722
Nacional;;;Total;2008T1;452
Nacional;;;Total;2007T4;365
Nacional;;;Total;2007T3;247
Nacional;;;Total;2007T2;263
Nacional;;;Total;2007T1;272
Nacional;;;Total;2006T4;252
Nacional;;;Total;2006T3;184
Nacional;;;Total;2006T2;240
Nacional;;;Total;2006T1;292
Nacional;;;Total;2005T4;248
Nacional;;;Total;2005T3;257
Nacional;;;Total;2005T2;282
Nacional;;;Total;2005T1;214
Nacional;;;Personas físicas sin actividad empresarial;2020T4;1.488
Nacional;;;Personas físicas sin actividad empresarial;2020T3;1.006
Nacional;;;Personas físicas sin actividad empresarial;2020T2;614
Nacional;;;Personas físicas sin actividad empresarial;2020T1;924
Nacional;;;Personas físicas sin actividad empresarial;2019T4;915
Nacional;;;Personas físicas sin actividad empresarial;2019T3;611
Nacional;;;Personas físicas sin actividad empresarial;2019T2;739
Nacional;;;Personas físicas sin actividad empresarial;2019T1;718
Nacional;;;Personas físicas sin actividad empresarial;2018T4;586
Nacional;;;Personas físicas sin actividad empresarial;2018T3;423
Nacional;;;Personas físicas sin actividad empresarial;2018T2;539
Nacional;;;Personas físicas sin actividad empresarial;2018T1;518
Nacional;;;Personas físicas sin actividad empresarial;2017T4;410
Nacional;;;Personas físicas sin actividad empresarial;2017T3;329
Nacional;;;Personas físicas sin actividad empresarial;2017T2;381
Nacional;;;Personas físicas sin actividad empresarial;2017T1;372
Nacional;;;Personas físicas sin actividad empresarial;2016T4;302
Nacional;;;Personas físicas sin actividad empresarial;2016T3;200
Nacional;;;Personas físicas sin actividad empresarial;2016T2;270
Nacional;;;Personas físicas sin actividad empresarial;2016T1;184
Nacional;;;Personas físicas sin actividad empresarial;2015T4;204
Nacional;;;Personas físicas sin actividad empresarial;2015T3;134
Nacional;;;Personas físicas sin actividad empresarial;2015T2;153
Nacional;;;Personas físicas sin actividad empresarial;2015T1;158
Nacional;;;Personas físicas sin actividad empresarial;2014T4;173
Nacional;;;Personas físicas sin actividad empresarial;2014T3;128
Nacional;;;Personas físicas sin actividad empresarial;2014T2;216
Nacional;;;Personas físicas sin actividad empresarial;2014T1;199
